sample, total, mapped
WATDE0296, 1209656628, 1206947428
WATDE0264, 1236303735, 1234672825
WATDE0263, 1266566328, 1264609084
WATDE0272, 1201234251, 1198553690
WATDE0266, 1155237967, 1153635123
WATDE0361, 1210351740, 1208465987
WATDE0270, 1188111064, 1186107359
Disponent, 2455561324, 2449764265
WATDE0337, 1137923758, 1135183487
WATDE0344, 1156524351, 1153420447
WATDE0310, 1155844362, 1154217542
WATDE0238, 1201790014, 1199937843
WATDE0315, 1154238172, 1152387296
Almus, 2271880736, 2265913535
WATDE0287, 1155420188, 1153578514
WATDE0301, 1146598521, 1144177267
WATDE0286, 1166549019, 1164819489
WATDE0355, 1198606332, 1196455440
WATDE0271, 1422633462, 1420355729
WATDE0254, 1142071051, 1140831768
WATDE0385, 1156358126, 1154997706
WATDE0386, 1141421343, 1139548421
WATDE0302, 1149435404, 1147688158
WATDE0354, 1128487654, 1126736646
WATDE0317, 1172780555, 1170903941
WATDE0299, 1460076621, 1457492060
WATDE0340, 1146518803, 1144410268
WATDE0359, 1142821269, 1140815828
WATDE0335, 1215912774, 1214066215
WATDE0298, 1185811176, 1184051694
WATDE0336, 1176251626, 1173429525
WATDE0312, 1297484853, 1295297943
WATDE0363, 1163131526, 1161216364
WATDE0392, 1115816697, 1114243608
WATDE0187, 1571754425, 1569045105
WATDE0358, 1270370955, 1268257543
WATDE0318, 1551778525, 1549084428
WATDE0347, 1171676180, 1169362647
WATDE0369, 1138952070, 1137048004
Voyage, 1986805804, 1981810418
WATDE0324, 1316987623, 1314536219
WATDE0370, 1145414376, 1143600441
WATDE0348, 1173021695, 1170961003
WATDE0313, 1229766794, 1226271121
WATDE0368, 1127521288, 1124769299
WATDE0244, 1699388061, 1697027950
WATDE0333, 1128978493, 1126657296
WATDE0381, 1231357047, 1228219799
WATDE0377, 1140199914, 1138059937
fielder, 2769127154, 2743714000
WATDE0411, 1152634569, 1150198659
WATDE0409, 1151956806, 1148592784
WATDE0332, 1270081263, 1267293673
WATDE0343, 1325204200, 1322836995
WATDE0319, 1348626123, 1345708467
WATDE0383, 1269816037, 1267655451
Banner, 2062014703, 2056640730
WATDE0352, 1399649715, 1397404445
Urban, 2016382377, 2015182302
Encore, 1992009637, 1990331123
WATDE0356, 1154513282, 1152668950
WATDE0366, 1219250704, 1217030461
WATDE0419, 1196891045, 1194282308
WATDE0378, 1141080853, 1139196054
WATDE0342, 1123219940, 1120098667
WATDE0445, 1146022916, 1143652176
WATDE0329, 1138338342, 1136362275
WATDE0372, 1264321765, 1260420342
WATDE0431, 1217962930, 1215992424
WATDE0353, 1158513807, 1155996748
WATDE0441, 1266618123, 1264223632
WATDE0412, 1182643335, 1180864215
WATDE0413, 1157023767, 1154553703
WATDE0427, 1133006443, 1131252219
WATDE0452, 1260326259, 1257359394
WATDE0429, 1127402162, 1124569096
WATDE0391, 1138299737, 1136641569
WATDE0345, 1256447027, 1254554417
WATDE0382, 1139161142, 1137587946
WATDE0465, 1283408188, 1281678686
WATDE0375, 1131143110, 1128958580
WATDE0432, 1129736950, 1128128687
WATDE0316, 1275796272, 1273789859
WATDE0430, 1154228016, 1151242163
WATDE0365, 1443550214, 1440907628
WATDE0403, 1164099044, 1161871974
WATDE0417, 1164046650, 1161816637
WATDE0496, 1181313461, 1178962704
WATDE0379, 1169933588, 1168099461
Regent, 2163727885, 2162382193
WATDE0374, 1137609616, 1135852284
WATDE0387, 1384604083, 1381650295
WATDE0436, 1302901117, 1300702388
WATDE0435, 1299343638, 1297296896
WATDE0397, 1329761752, 1327850271
Oenus, 2382782961, 2380375550
WATDE0425, 1250233178, 1247293584
WATDE0405, 1160096036, 1157908849
WATDE0373, 1134178303, 1132243305
WATDE0371, 1131685146, 1129857613
WATDE0350, 1145776666, 1143714352
WATDE0401, 1137792513, 1135074484
WATDE0394, 1156647843, 1154595422
WATDE0451, 1263086022, 1258743811
avocet, 2709798604, 2707465365
WATDE0456, 1202887537, 1201207364
WATDE0474, 1178425122, 1176673971
WATDE0408, 1179446114, 1177253047
WATDE0426, 1158737206, 1156330165
WATDE0428, 1135638504, 1133807406
WATDE0424, 1179533288, 1173085078
WATDE0434, 1157872209, 1155634200
WATDE0404, 1406994287, 1404543891
WATDE0461, 1188811969, 1186659614
WATDE0410, 1278836443, 1276731039
WATDE0421, 1129412854, 1127723330
Turpin, 2554364312, 2548705314
WATDE0471, 1158153385, 1156129031
WATDE0389, 1181743692, 1180232847
Walde, 1941861555, 1939514287
WATDE0439, 1171001669, 1168773063
WATDE0396, 1277548211, 1275612000
WATDE0520, 1436350445, 1434030399
WATDE0420, 1128643014, 1126894499
WATDE0442, 1185213773, 1182141225
WATDE0500, 1225157639, 1222519549
WATDE0482, 1149048972, 1147243983
WATDE0502, 1303916867, 1301878343
WATDE0453, 1296086655, 1293714042
torch, 2028246540, 2025753722
WATDE0448, 1283121571, 1280769896
WATDE0440, 1151923033, 1149655730
WATDE0552, 1342940698, 1340163394
WATDE0455, 1162025116, 1160070176
WATDE0486, 1466166884, 1463443343
WATDE0438, 1233935139, 1232247546
WATDE0527, 1149797802, 1147983962
WATDE0423, 1186929274, 1184747435
WATDE0415, 1230221436, 1226498122
WATDE0513, 1330452338, 1327823522
